Straßennetzdichte in Gebietsfläche (2012)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert km/km²
1;08;Baden-Württemberg;2,4 
2;09;Bayern;2,0 
3;11;Berlin;6,3 
4;12;Brandenburg;1,1 
5;04;Bremen;5,2 
6;02;Hamburg;5,2 
7;06;Hessen;2,1 
8;13;Mecklenburg-Vorpommern;1,0 
9;03;Niedersachsen;1,8 
10;05;Nordrhein-Westfalen;2,8 
11;07;Rheinland-Pfalz;2,0 
12;10;Saarland;2,9 
13;14;Sachsen;2,0 
14;15;Sachsen-Anhalt;1,2 
15;01;Schleswig-Holstein;1,5 
16;16;Thüringen;1,5 
;;Deutschland;1,9 
