Anteil Grünlandfläche an Gebietsfläche (2016)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;15,5 ;12/2014
2;09;Bayern;19,3 ;02/2016
3;11;Berlin;0,6 ;11/2015
4;12;Brandenburg;11,2 ;07/2015
5;04;Bremen;23,4 ;06/2012
6;02;Hamburg;13,6 ;10/2015
7;06;Hessen;14,8 ;12/2012
8;13;Mecklenburg-Vorpommern;15,9 ;05/2013
9;03;Niedersachsen;20,2 ;01/2014
10;05;Nordrhein-Westfalen;15,1 ;06/2015
11;07;Rheinland-Pfalz;17,0 ;09/2014
12;10;Saarland;20,0 ;07/2014
13;14;Sachsen;13,5 ;03/2014
14;15;Sachsen-Anhalt;10,3 ;06/2015
15;01;Schleswig-Holstein;18,0 ;12/2014
16;16;Thüringen;13,8 ;06/2015
;;Deutschland;16,2 ;12/2014
