Anteil Grünlandfläche an Gebietsfläche (2018)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;15,3 ;05/2017
2;09;Bayern;18,8 ;02/2018
3;11;Berlin;0,6 ;03/2018
4;12;Brandenburg;11,3 ;09/2017
5;04;Bremen;23,2 ;08/2016
6;02;Hamburg;13,3 ;09/2017
7;06;Hessen;15,3 ;07/2016
8;13;Mecklenburg-Vorpommern;16,2 ;01/2016
9;03;Niedersachsen;19,9 ;09/2015
10;05;Nordrhein-Westfalen;15,0 ;03/2017
11;07;Rheinland-Pfalz;16,5 ;06/2017
12;10;Saarland;20,5 ;09/2016
13;14;Sachsen;13,3 ;10/2016
14;15;Sachsen-Anhalt;10,3 ;06/2017
15;01;Schleswig-Holstein;20,5 ;02/2017
16;16;Thüringen;13,5 ;12/2017
;;Deutschland;16,1 ;03/2017
