Anteil Grünlandfläche an Gebietsfläche (2008)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;16,0 ;05/2008
2;09;Bayern;18,6 ;04/2008
3;11;Berlin;3,3 ;12/2007
4;12;Brandenburg;12,2 ;03/2007
5;04;Bremen;26,2 ;10/2007
6;02;Hamburg;14,5 ;09/2007
7;06;Hessen;15,3 ;03/2008
8;13;Mecklenburg-Vorpommern;18,2 ;03/2006
9;03;Niedersachsen;21,9 ;11/2006
10;05;Nordrhein-Westfalen;15,7 ;07/2006
11;07;Rheinland-Pfalz;18,9 ;09/2006
12;10;Saarland;19,0 ;08/2004
13;14;Sachsen;15,2 ;09/2006
14;15;Sachsen-Anhalt;13,3 ;04/2007
15;01;Schleswig-Holstein;18,1 ;11/2005
16;16;Thüringen;15,0 ;10/2002
;;Deutschland;17,1 ;02/2007
