Anteil Grünlandfläche an Gebietsfläche (2010)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;16,0 ;06/2010
2;09;Bayern;18,4 ;03/2010
3;11;Berlin;3,4 ;03/2008
4;12;Brandenburg;12,2 ;09/2008
5;04;Bremen;25,9 ;10/2008
6;02;Hamburg;11,2 ;09/2009
7;06;Hessen;15,3 ;09/2009
8;13;Mecklenburg-Vorpommern;18,2 ;03/2008
9;03;Niedersachsen;21,9 ;09/2008
10;05;Nordrhein-Westfalen;15,4 ;01/2009
11;07;Rheinland-Pfalz;18,0 ;12/2008
12;10;Saarland;19,6 ;01/2007
13;14;Sachsen;15,4 ;10/2008
14;15;Sachsen-Anhalt;13,1 ;03/2009
15;01;Schleswig-Holstein;17,1 ;11/2006
16;16;Thüringen;14,7 ;09/2007
;;Deutschland;16,9 ;02/2009
