Anteil Grünlandfläche an Gebietsfläche (2020)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;15,1 ;12/2018
2;09;Bayern;18,5 ;02/2020
3;11;Berlin;0,5 ;08/2019
4;12;Brandenburg;11,4 ;06/2019
5;04;Bremen;23,0 ;05/2018
6;02;Hamburg;13,3 ;01/2020
7;06;Hessen;15,8 ;04/2018
8;13;Mecklenburg-Vorpommern;15,9 ;02/2019
9;03;Niedersachsen;19,7 ;03/2018
10;05;Nordrhein-Westfalen;14,9 ;09/2018
11;07;Rheinland-Pfalz;16,3 ;06/2019
12;10;Saarland;20,2 ;08/2018
13;14;Sachsen;13,1 ;09/2018
14;15;Sachsen-Anhalt;10,4 ;02/2019
15;01;Schleswig-Holstein;22,1 ;02/2019
16;16;Thüringen;13,3 ;07/2019
;;Deutschland;16,1 ;02/2019
