Anteil Grünlandfläche an Gebietsfläche (2014)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;15,6 ;05/2013
2;09;Bayern;19,5 ;03/2013
3;11;Berlin;0,7 ;09/2013
4;12;Brandenburg;11,2 ;04/2013
5;04;Bremen;23,4 ;06/2012
6;02;Hamburg;13,5 ;06/2013
7;06;Hessen;15,2 ;12/2009
8;13;Mecklenburg-Vorpommern;15,6 ;12/2010
9;03;Niedersachsen;20,4 ;08/2011
10;05;Nordrhein-Westfalen;15,2 ;02/2013
11;07;Rheinland-Pfalz;17,4 ;03/2013
12;10;Saarland;19,1 ;05/2012
13;14;Sachsen;13,7 ;01/2012
14;15;Sachsen-Anhalt;10,5 ;07/2013
15;01;Schleswig-Holstein;16,6 ;06/2012
16;16;Thüringen;14,2 ;07/2012
;;Deutschland;16,3 ;07/2012
