Anteil Grünlandfläche an Gebietsfläche (2017)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;15,4 ;05/2016
2;09;Bayern;19,0 ;02/2017
3;11;Berlin;0,6 ;01/2017
4;12;Brandenburg;11,3 ;08/2016
5;04;Bremen;23,4 ;10/2012
6;02;Hamburg;13,4 ;09/2016
7;06;Hessen;14,9 ;09/2014
8;13;Mecklenburg-Vorpommern;16,1 ;10/2014
9;03;Niedersachsen;20,1 ;10/2014
10;05;Nordrhein-Westfalen;15,0 ;07/2016
11;07;Rheinland-Pfalz;16,7 ;02/2016
12;10;Saarland;20,5 ;03/2015
13;14;Sachsen;13,4 ;07/2015
14;15;Sachsen-Anhalt;10,3 ;05/2016
15;01;Schleswig-Holstein;19,5 ;02/2016
16;16;Thüringen;13,6 ;05/2017
;;Deutschland;16,1 ;02/2016
