Anteil Grünlandfläche an Gebietsfläche (2021)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;15,0 ;05/2020
2;09;Bayern;18,5 ;12/2020
3;11;Berlin;0,5 ;01/2020
4;12;Brandenburg;11,5 ;03/2020
5;04;Bremen;23,0 ;05/2018
6;02;Hamburg;13,3 ;10/2020
7;06;Hessen;16,4 ;06/2019
8;13;Mecklenburg-Vorpommern;15,8 ;03/2020
9;03;Niedersachsen;19,6 ;07/2019
10;05;Nordrhein-Westfalen;14,9 ;09/2019
11;07;Rheinland-Pfalz;16,3 ;06/2020
12;10;Saarland;20,0 ;09/2019
13;14;Sachsen;13,1 ;11/2019
14;15;Sachsen-Anhalt;10,4 ;03/2020
15;01;Schleswig-Holstein;23,0 ;02/2020
16;16;Thüringen;13,2 ;08/2020
;;Deutschland;16,1 ;03/2020
