Anteil Grünlandfläche an Gebietsfläche (2013)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;15,7 ;03/2012
2;09;Bayern;19,6 ;03/2013
3;11;Berlin;0,7 ;01/2012
4;12;Brandenburg;11,1 ;11/2011
5;04;Bremen;23,4 ;06/2012
6;02;Hamburg;13,3 ;07/2012
7;06;Hessen;15,3 ;09/2009
8;13;Mecklenburg-Vorpommern;15,6 ;04/2010
9;03;Niedersachsen;20,5 ;04/2010
10;05;Nordrhein-Westfalen;15,3 ;03/2012
11;07;Rheinland-Pfalz;17,6 ;03/2012
12;10;Saarland;19,3 ;01/2012
13;14;Sachsen;13,8 ;05/2011
14;15;Sachsen-Anhalt;10,7 ;07/2012
15;01;Schleswig-Holstein;16,6 ;10/2011
16;16;Thüringen;14,3 ;03/2012
;;Deutschland;16,4 ;10/2011
