Anteil Grünlandfläche an Gebietsfläche (2022)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;14,9 ;04/2021
2;09;Bayern;18,4 ;01/2022
3;11;Berlin;0,4 ;08/2021
4;12;Brandenburg;11,6 ;02/2021
5;04;Bremen;22,9 ;12/2019
6;02;Hamburg;13,2 ;09/2021
7;06;Hessen;16,8 ;03/2020
8;13;Mecklenburg-Vorpommern;15,7 ;04/2021
9;03;Niedersachsen;19,4 ;08/2020
10;05;Nordrhein-Westfalen;14,9 ;09/2020
11;07;Rheinland-Pfalz;16,3 ;04/2021
12;10;Saarland;19,8 ;12/2020
13;14;Sachsen;13,2 ;10/2020
14;15;Sachsen-Anhalt;10,4 ;04/2021
15;01;Schleswig-Holstein;23,5 ;05/2021
16;16;Thüringen;13,1 ;10/2021
;;Deutschland;16,1 ;03/2021
