Anteil Grünlandfläche an Gebietsfläche (2011)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;15,7 ;08/2010
2;09;Bayern;18,3 ;05/2011
3;11;Berlin;0,9 ;10/2009
4;12;Brandenburg;12,2 ;07/2009
5;04;Bremen;23,3 ;02/2009
6;02;Hamburg;11,7 ;06/2010
7;06;Hessen;15,2 ;09/2009
8;13;Mecklenburg-Vorpommern;18,0 ;05/2009
9;03;Niedersachsen;20,8 ;12/2008
10;05;Nordrhein-Westfalen;15,2 ;12/2009
11;07;Rheinland-Pfalz;17,8 ;08/2009
12;10;Saarland;20,3 ;06/2008
13;14;Sachsen;15,4 ;06/2009
14;15;Sachsen-Anhalt;11,3 ;02/2010
15;01;Schleswig-Holstein;16,6 ;10/2008
16;16;Thüringen;14,6 ;03/2009
;;Deutschland;16,5 ;12/2009
