Anteil Grünlandfläche an Gebietsfläche (2009)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;16,0 ;10/2009
2;09;Bayern;18,6 ;01/2009
3;11;Berlin;3,3 ;02/2008
4;12;Brandenburg;12,2 ;05/2008
5;04;Bremen;26,0 ;10/2007
6;02;Hamburg;10,6 ;07/2008
7;06;Hessen;15,3 ;05/2009
8;13;Mecklenburg-Vorpommern;18,2 ;06/2007
9;03;Niedersachsen;21,9 ;09/2007
10;05;Nordrhein-Westfalen;15,6 ;07/2006
11;07;Rheinland-Pfalz;18,2 ;01/2008
12;10;Saarland;19,1 ;12/2005
13;14;Sachsen;15,4 ;09/2007
14;15;Sachsen-Anhalt;13,4 ;07/2008
15;01;Schleswig-Holstein;17,3 ;11/2005
16;16;Thüringen;14,8 ;10/2005
;;Deutschland;17,0 ;02/2008
