Anteil Grünlandfläche an Gebietsfläche (2019)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;15,2 ;12/2017
2;09;Bayern;18,8 ;02/2019
3;11;Berlin;0,6 ;04/2019
4;12;Brandenburg;11,3 ;09/2018
5;04;Bremen;23,1 ;05/2018
6;02;Hamburg;13,3 ;12/2018
7;06;Hessen;15,3 ;03/2017
8;13;Mecklenburg-Vorpommern;16,1 ;10/2017
9;03;Niedersachsen;19,7 ;02/2017
10;05;Nordrhein-Westfalen;15,0 ;03/2018
11;07;Rheinland-Pfalz;16,4 ;05/2018
12;10;Saarland;20,4 ;08/2017
13;14;Sachsen;13,2 ;09/2017
14;15;Sachsen-Anhalt;10,3 ;03/2018
15;01;Schleswig-Holstein;21,4 ;04/2018
16;16;Thüringen;13,3 ;06/2018
;;Deutschland;16,1 ;03/2018
