Anteil Grünlandfläche an Gebietsfläche (2012)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;15,8 ;05/2011
2;09;Bayern;19,2 ;12/2011
3;11;Berlin;0,7 ;08/2011
4;12;Brandenburg;12,3 ;03/2010
5;04;Bremen;23,3 ;01/2011
6;02;Hamburg;12,3 ;07/2011
7;06;Hessen;15,2 ;09/2009
8;13;Mecklenburg-Vorpommern;17,6 ;02/2010
9;03;Niedersachsen;20,7 ;07/2009
10;05;Nordrhein-Westfalen;15,3 ;01/2011
11;07;Rheinland-Pfalz;17,7 ;07/2010
12;10;Saarland;20,2 ;01/2010
13;14;Sachsen;15,0 ;09/2010
14;15;Sachsen-Anhalt;10,8 ;02/2011
15;01;Schleswig-Holstein;16,5 ;09/2010
16;16;Thüringen;14,5 ;03/2012
;;Deutschland;16,6 ;11/2010
