Anteil Landwirtschaftsfläche an Gebietsfläche (2020)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;45,1 ;12/2018
2;09;Bayern;49,4 ;02/2020
3;11;Berlin;3,6 ;08/2019
4;12;Brandenburg;47,4 ;06/2019
5;04;Bremen;26,7 ;05/2018
6;02;Hamburg;23,4 ;01/2020
7;06;Hessen;42,5 ;04/2018
8;13;Mecklenburg-Vorpommern;62,8 ;02/2019
9;03;Niedersachsen;59,9 ;03/2018
10;05;Nordrhein-Westfalen;48,8 ;09/2018
11;07;Rheinland-Pfalz;42,1 ;06/2019
12;10;Saarland;35,9 ;08/2018
13;14;Sachsen;51,7 ;09/2018
14;15;Sachsen-Anhalt;61,8 ;02/2019
15;01;Schleswig-Holstein;68,5 ;02/2019
16;16;Thüringen;54,0 ;07/2019
;;Deutschland;51,8 ;02/2019
