Anteil Landwirtschaftsfläche an Gebietsfläche (2010)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;46,4 ;06/2010
2;09;Bayern;51,3 ;03/2010
3;11;Berlin;7,3 ;03/2008
4;12;Brandenburg;49,2 ;09/2008
5;04;Bremen;31,9 ;10/2008
6;02;Hamburg;24,2 ;09/2009
7;06;Hessen;44,3 ;09/2009
8;13;Mecklenburg-Vorpommern;64,9 ;03/2008
9;03;Niedersachsen;61,9 ;09/2008
10;05;Nordrhein-Westfalen;50,0 ;01/2009
11;07;Rheinland-Pfalz;43,9 ;12/2008
12;10;Saarland;40,1 ;01/2007
13;14;Sachsen;54,3 ;10/2008
14;15;Sachsen-Anhalt;65,1 ;03/2009
15;01;Schleswig-Holstein;70,3 ;11/2006
16;16;Thüringen;56,1 ;09/2007
;;Deutschland;53,7 ;02/2009
