Anteil Landwirtschaftsfläche an Gebietsfläche (2017)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;45,4 ;05/2016
2;09;Bayern;50,0 ;02/2017
3;11;Berlin;3,7 ;01/2017
4;12;Brandenburg;47,5 ;08/2016
5;04;Bremen;26,9 ;10/2012
6;02;Hamburg;23,6 ;09/2016
7;06;Hessen;42,8 ;09/2014
8;13;Mecklenburg-Vorpommern;63,0 ;10/2014
9;03;Niedersachsen;60,0 ;10/2014
10;05;Nordrhein-Westfalen;49,1 ;07/2016
11;07;Rheinland-Pfalz;42,5 ;02/2016
12;10;Saarland;35,9 ;03/2015
13;14;Sachsen;52,0 ;07/2015
14;15;Sachsen-Anhalt;62,1 ;05/2016
15;01;Schleswig-Holstein;68,9 ;02/2016
16;16;Thüringen;54,2 ;05/2017
;;Deutschland;52,1 ;02/2016
