Anteil Landwirtschaftsfläche an Gebietsfläche (2018)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;45,2 ;05/2017
2;09;Bayern;49,8 ;02/2018
3;11;Berlin;3,6 ;03/2018
4;12;Brandenburg;47,5 ;09/2017
5;04;Bremen;26,9 ;08/2016
6;02;Hamburg;23,5 ;09/2017
7;06;Hessen;42,6 ;07/2016
8;13;Mecklenburg-Vorpommern;63,0 ;01/2016
9;03;Niedersachsen;60,1 ;09/2015
10;05;Nordrhein-Westfalen;49,0 ;03/2017
11;07;Rheinland-Pfalz;42,3 ;06/2017
12;10;Saarland;35,9 ;09/2016
13;14;Sachsen;51,9 ;10/2016
14;15;Sachsen-Anhalt;61,9 ;06/2017
15;01;Schleswig-Holstein;68,7 ;02/2017
16;16;Thüringen;54,1 ;12/2017
;;Deutschland;52,0 ;03/2017
