Anteil Landwirtschaftsfläche an Gebietsfläche (2021)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;44,9 ;05/2020
2;09;Bayern;49,3 ;12/2020
3;11;Berlin;3,6 ;01/2020
4;12;Brandenburg;47,4 ;03/2020
5;04;Bremen;26,7 ;05/2018
6;02;Hamburg;23,3 ;10/2020
7;06;Hessen;42,5 ;06/2019
8;13;Mecklenburg-Vorpommern;62,7 ;03/2020
9;03;Niedersachsen;59,8 ;07/2019
10;05;Nordrhein-Westfalen;48,7 ;09/2019
11;07;Rheinland-Pfalz;42,0 ;06/2020
12;10;Saarland;35,7 ;09/2019
13;14;Sachsen;51,6 ;11/2019
14;15;Sachsen-Anhalt;61,7 ;03/2020
15;01;Schleswig-Holstein;68,5 ;02/2020
16;16;Thüringen;53,8 ;08/2020
;;Deutschland;51,7 ;03/2020
