Anteil Landwirtschaftsfläche an Gebietsfläche (2009)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;46,5 ;10/2009
2;09;Bayern;51,5 ;01/2009
3;11;Berlin;7,2 ;02/2008
4;12;Brandenburg;49,2 ;05/2008
5;04;Bremen;32,1 ;10/2007
6;02;Hamburg;25,1 ;07/2008
7;06;Hessen;44,4 ;05/2009
8;13;Mecklenburg-Vorpommern;65,0 ;06/2007
9;03;Niedersachsen;62,0 ;09/2007
10;05;Nordrhein-Westfalen;50,4 ;07/2006
11;07;Rheinland-Pfalz;44,2 ;01/2008
12;10;Saarland;39,8 ;12/2005
13;14;Sachsen;54,3 ;09/2007
14;15;Sachsen-Anhalt;65,9 ;07/2008
15;01;Schleswig-Holstein;70,4 ;11/2005
16;16;Thüringen;56,4 ;10/2005
;;Deutschland;53,9 ;02/2008
