Anteil Landwirtschaftsfläche an Gebietsfläche (2008)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;46,6 ;05/2008
2;09;Bayern;51,5 ;04/2008
3;11;Berlin;7,2 ;12/2007
4;12;Brandenburg;49,2 ;03/2007
5;04;Bremen;32,5 ;10/2007
6;02;Hamburg;26,5 ;09/2007
7;06;Hessen;44,4 ;03/2008
8;13;Mecklenburg-Vorpommern;65,1 ;03/2006
9;03;Niedersachsen;62,0 ;11/2006
10;05;Nordrhein-Westfalen;50,5 ;07/2006
11;07;Rheinland-Pfalz;45,0 ;09/2006
12;10;Saarland;39,8 ;08/2004
13;14;Sachsen;54,5 ;09/2006
14;15;Sachsen-Anhalt;66,1 ;04/2007
15;01;Schleswig-Holstein;71,1 ;11/2005
16;16;Thüringen;56,6 ;10/2002
;;Deutschland;54,1 ;02/2007
