Anteil Wald- und Gehölzfläche an Gebietsfläche (2020)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;40,1 ;12/2018
2;09;Bayern;36,9 ;02/2020
3;11;Berlin;18,7 ;08/2019
4;12;Brandenburg;38,2 ;06/2019
5;04;Bremen;3,8 ;05/2018
6;02;Hamburg;8,1 ;01/2020
7;06;Hessen;42,7 ;04/2018
8;13;Mecklenburg-Vorpommern;23,3 ;02/2019
9;03;Niedersachsen;22,8 ;03/2018
10;05;Nordrhein-Westfalen;27,1 ;09/2018
11;07;Rheinland-Pfalz;44,4 ;06/2019
12;10;Saarland;42,1 ;08/2018
13;14;Sachsen;29,9 ;09/2018
14;15;Sachsen-Anhalt;25,2 ;02/2019
15;01;Schleswig-Holstein;11,9 ;02/2019
16;16;Thüringen;34,7 ;07/2019
;;Deutschland;32,0 ;02/2019
