Anteil Wald- und Gehölzfläche an Gebietsfläche (2010)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;39,9 ;06/2010
2;09;Bayern;36,4 ;03/2010
3;11;Berlin;18,8 ;03/2008
4;12;Brandenburg;38,0 ;09/2008
5;04;Bremen;3,6 ;10/2008
6;02;Hamburg;6,7 ;09/2009
7;06;Hessen;42,2 ;09/2009
8;13;Mecklenburg-Vorpommern;22,5 ;03/2008
9;03;Niedersachsen;22,4 ;09/2008
10;05;Nordrhein-Westfalen;26,9 ;01/2009
11;07;Rheinland-Pfalz;43,6 ;12/2008
12;10;Saarland;40,9 ;01/2007
13;14;Sachsen;28,9 ;10/2008
14;15;Sachsen-Anhalt;23,9 ;03/2009
15;01;Schleswig-Holstein;11,6 ;11/2006
16;16;Thüringen;34,2 ;09/2007
;;Deutschland;31,5 ;02/2009
