Anteil Wald- und Gehölzfläche an Gebietsfläche (2009)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;39,9 ;10/2009
2;09;Bayern;36,4 ;01/2009
3;11;Berlin;18,8 ;02/2008
4;12;Brandenburg;37,9 ;05/2008
5;04;Bremen;3,6 ;10/2007
6;02;Hamburg;6,7 ;07/2008
7;06;Hessen;42,1 ;05/2009
8;13;Mecklenburg-Vorpommern;22,4 ;06/2007
9;03;Niedersachsen;22,3 ;09/2007
10;05;Nordrhein-Westfalen;26,9 ;07/2006
11;07;Rheinland-Pfalz;43,5 ;01/2008
12;10;Saarland;40,6 ;12/2005
13;14;Sachsen;28,9 ;09/2007
14;15;Sachsen-Anhalt;23,8 ;07/2008
15;01;Schleswig-Holstein;11,6 ;11/2005
16;16;Thüringen;34,1 ;10/2005
;;Deutschland;31,5 ;02/2008
