Anteil Wald- und Gehölzfläche an Gebietsfläche (2011)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;39,6 ;08/2010
2;09;Bayern;36,4 ;05/2011
3;11;Berlin;19,1 ;10/2009
4;12;Brandenburg;37,9 ;07/2009
5;04;Bremen;3,8 ;02/2009
6;02;Hamburg;6,7 ;06/2010
7;06;Hessen;42,2 ;09/2009
8;13;Mecklenburg-Vorpommern;22,5 ;05/2009
9;03;Niedersachsen;22,4 ;12/2008
10;05;Nordrhein-Westfalen;26,9 ;12/2009
11;07;Rheinland-Pfalz;43,7 ;08/2009
12;10;Saarland;41,0 ;06/2008
13;14;Sachsen;29,0 ;06/2009
14;15;Sachsen-Anhalt;24,3 ;02/2010
15;01;Schleswig-Holstein;11,6 ;10/2008
16;16;Thüringen;34,3 ;03/2009
;;Deutschland;31,5 ;12/2009
