Anteil Wald- und Gehölzfläche an Gebietsfläche (2016)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;39,4 ;12/2014
2;09;Bayern;36,6 ;02/2016
3;11;Berlin;18,8 ;11/2015
4;12;Brandenburg;38,1 ;07/2015
5;04;Bremen;4,1 ;06/2012
6;02;Hamburg;8,1 ;10/2015
7;06;Hessen;42,5 ;12/2012
8;13;Mecklenburg-Vorpommern;22,9 ;05/2013
9;03;Niedersachsen;22,6 ;01/2014
10;05;Nordrhein-Westfalen;27,0 ;06/2015
11;07;Rheinland-Pfalz;44,1 ;09/2014
12;10;Saarland;42,0 ;07/2014
13;14;Sachsen;29,6 ;03/2014
14;15;Sachsen-Anhalt;24,9 ;06/2015
15;01;Schleswig-Holstein;11,9 ;12/2014
16;16;Thüringen;34,6 ;06/2015
;;Deutschland;31,8 ;12/2014
