Anteil Wald- und Gehölzfläche an Gebietsfläche (2018)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;39,6 ;05/2017
2;09;Bayern;36,8 ;02/2018
3;11;Berlin;18,8 ;03/2018
4;12;Brandenburg;38,2 ;09/2017
5;04;Bremen;3,9 ;08/2016
6;02;Hamburg;8,1 ;09/2017
7;06;Hessen;42,7 ;07/2016
8;13;Mecklenburg-Vorpommern;23,2 ;01/2016
9;03;Niedersachsen;22,7 ;09/2015
10;05;Nordrhein-Westfalen;27,0 ;03/2017
11;07;Rheinland-Pfalz;44,4 ;06/2017
12;10;Saarland;42,1 ;09/2016
13;14;Sachsen;29,8 ;10/2016
14;15;Sachsen-Anhalt;25,1 ;06/2017
15;01;Schleswig-Holstein;11,9 ;02/2017
16;16;Thüringen;34,6 ;12/2017
;;Deutschland;31,9 ;03/2017
