Anteil Wald- und Gehölzfläche an Gebietsfläche (2008)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;39,9 ;05/2008
2;09;Bayern;36,4 ;04/2008
3;11;Berlin;18,7 ;12/2007
4;12;Brandenburg;37,9 ;03/2007
5;04;Bremen;3,6 ;10/2007
6;02;Hamburg;6,6 ;09/2007
7;06;Hessen;42,1 ;03/2008
8;13;Mecklenburg-Vorpommern;22,3 ;03/2006
9;03;Niedersachsen;22,3 ;11/2006
10;05;Nordrhein-Westfalen;27,0 ;07/2006
11;07;Rheinland-Pfalz;43,3 ;09/2006
12;10;Saarland;40,6 ;08/2004
13;14;Sachsen;28,7 ;09/2006
14;15;Sachsen-Anhalt;23,7 ;04/2007
15;01;Schleswig-Holstein;11,6 ;11/2005
16;16;Thüringen;33,9 ;10/2002
;;Deutschland;31,4 ;02/2007
