Anteil Wald- und Gehölzfläche an Gebietsfläche (2012)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;39,4 ;05/2011
2;09;Bayern;36,4 ;12/2011
3;11;Berlin;19,1 ;08/2011
4;12;Brandenburg;37,9 ;03/2010
5;04;Bremen;3,9 ;01/2011
6;02;Hamburg;7,0 ;07/2011
7;06;Hessen;42,2 ;09/2009
8;13;Mecklenburg-Vorpommern;22,5 ;02/2010
9;03;Niedersachsen;22,4 ;07/2009
10;05;Nordrhein-Westfalen;26,9 ;01/2011
11;07;Rheinland-Pfalz;43,7 ;07/2010
12;10;Saarland;41,1 ;01/2010
13;14;Sachsen;29,2 ;09/2010
14;15;Sachsen-Anhalt;24,5 ;02/2011
15;01;Schleswig-Holstein;11,7 ;09/2010
16;16;Thüringen;34,3 ;03/2012
;;Deutschland;31,5 ;11/2010
