Anteil Wald- und Gehölzfläche an Gebietsfläche (2017)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;39,5 ;05/2016
2;09;Bayern;36,7 ;02/2017
3;11;Berlin;18,8 ;01/2017
4;12;Brandenburg;38,2 ;08/2016
5;04;Bremen;4,1 ;10/2012
6;02;Hamburg;8,1 ;09/2016
7;06;Hessen;42,7 ;09/2014
8;13;Mecklenburg-Vorpommern;23,0 ;10/2014
9;03;Niedersachsen;22,7 ;10/2014
10;05;Nordrhein-Westfalen;27,0 ;07/2016
11;07;Rheinland-Pfalz;44,3 ;02/2016
12;10;Saarland;42,1 ;03/2015
13;14;Sachsen;29,8 ;07/2015
14;15;Sachsen-Anhalt;25,0 ;05/2016
15;01;Schleswig-Holstein;11,9 ;02/2016
16;16;Thüringen;34,6 ;05/2017
;;Deutschland;31,9 ;02/2016
