Anteil Wald- und Gehölzfläche an Gebietsfläche (2013)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;39,4 ;03/2012
2;09;Bayern;36,5 ;03/2013
3;11;Berlin;19,0 ;01/2012
4;12;Brandenburg;37,9 ;11/2011
5;04;Bremen;4,0 ;06/2012
6;02;Hamburg;7,3 ;07/2012
7;06;Hessen;42,2 ;09/2009
8;13;Mecklenburg-Vorpommern;22,6 ;04/2010
9;03;Niedersachsen;22,4 ;04/2010
10;05;Nordrhein-Westfalen;26,9 ;03/2012
11;07;Rheinland-Pfalz;43,8 ;03/2012
12;10;Saarland;41,3 ;01/2012
13;14;Sachsen;29,3 ;05/2011
14;15;Sachsen-Anhalt;24,7 ;07/2012
15;01;Schleswig-Holstein;11,8 ;10/2011
16;16;Thüringen;34,4 ;03/2012
;;Deutschland;31,6 ;10/2011
