Anteil Wald- und Gehölzfläche an Gebietsfläche (2021)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;40,2 ;05/2020
2;09;Bayern;36,9 ;12/2020
3;11;Berlin;18,7 ;01/2020
4;12;Brandenburg;38,2 ;03/2020
5;04;Bremen;3,8 ;05/2018
6;02;Hamburg;8,1 ;10/2020
7;06;Hessen;42,6 ;06/2019
8;13;Mecklenburg-Vorpommern;23,3 ;03/2020
9;03;Niedersachsen;22,8 ;07/2019
10;05;Nordrhein-Westfalen;27,1 ;09/2019
11;07;Rheinland-Pfalz;44,4 ;06/2020
12;10;Saarland;42,2 ;09/2019
13;14;Sachsen;30,0 ;11/2019
14;15;Sachsen-Anhalt;25,0 ;03/2020
15;01;Schleswig-Holstein;11,9 ;02/2020
16;16;Thüringen;34,8 ;08/2020
;;Deutschland;32,0 ;03/2020
