Anteil Wald- und Gehölzfläche an Gebietsfläche (2022)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;40,2 ;04/2021
2;09;Bayern;36,9 ;01/2022
3;11;Berlin;18,3 ;08/2021
4;12;Brandenburg;38,1 ;02/2021
5;04;Bremen;3,8 ;12/2019
6;02;Hamburg;8,1 ;09/2021
7;06;Hessen;42,6 ;03/2020
8;13;Mecklenburg-Vorpommern;23,3 ;04/2021
9;03;Niedersachsen;22,9 ;08/2020
10;05;Nordrhein-Westfalen;27,1 ;09/2020
11;07;Rheinland-Pfalz;44,3 ;04/2021
12;10;Saarland;42,1 ;12/2020
13;14;Sachsen;30,0 ;10/2020
14;15;Sachsen-Anhalt;24,9 ;04/2021
15;01;Schleswig-Holstein;12,0 ;05/2021
16;16;Thüringen;34,8 ;10/2021
;;Deutschland;32,0 ;03/2021
