Anteil Wald- und Gehölzfläche an Gebietsfläche (2014)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;39,4 ;05/2013
2;09;Bayern;36,5 ;03/2013
3;11;Berlin;19,0 ;09/2013
4;12;Brandenburg;38,0 ;04/2013
5;04;Bremen;4,0 ;06/2012
6;02;Hamburg;7,5 ;06/2013
7;06;Hessen;42,3 ;12/2009
8;13;Mecklenburg-Vorpommern;22,6 ;12/2010
9;03;Niedersachsen;22,5 ;08/2011
10;05;Nordrhein-Westfalen;26,9 ;02/2013
11;07;Rheinland-Pfalz;43,9 ;03/2013
12;10;Saarland;41,4 ;05/2012
13;14;Sachsen;29,4 ;01/2012
14;15;Sachsen-Anhalt;24,8 ;07/2013
15;01;Schleswig-Holstein;11,8 ;06/2012
16;16;Thüringen;34,5 ;07/2012
;;Deutschland;31,7 ;07/2012
