Anteil Wald- und Gehölzfläche an Gebietsfläche (2019)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;39,7 ;12/2017
2;09;Bayern;36,8 ;02/2019
3;11;Berlin;18,8 ;04/2019
4;12;Brandenburg;38,2 ;09/2018
5;04;Bremen;3,8 ;05/2018
6;02;Hamburg;8,1 ;12/2018
7;06;Hessen;42,7 ;03/2017
8;13;Mecklenburg-Vorpommern;23,2 ;10/2017
9;03;Niedersachsen;22,7 ;02/2017
10;05;Nordrhein-Westfalen;27,0 ;03/2018
11;07;Rheinland-Pfalz;44,4 ;05/2018
12;10;Saarland;42,1 ;08/2017
13;14;Sachsen;29,9 ;09/2017
14;15;Sachsen-Anhalt;25,2 ;03/2018
15;01;Schleswig-Holstein;11,9 ;04/2018
16;16;Thüringen;34,7 ;06/2018
;;Deutschland;32,0 ;03/2018
