Straßennetzdichte in Gebietsfläche (2022)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert km/km²
174;07111;Koblenz;4,7 
175;08335;Konstanz;2,7 
176;05114;Krefeld;5,8 
177;09476;Kronach;1,9 
178;09477;Kulmbach;2,2 
179;07336;Kusel;1,7 
180;16065;Kyffhäuserkreis;1,1 
181;05315;Köln;6,5 
182;06532;Lahn-Dill-Kreis;2,3 
183;07313;Landau in der Pfalz;3,2 
184;09181;Landsberg am Lech;2,1 
185;09261;Landshut;5,6 
186;09274;Landshut (Landkreis);2,5 
187;03457;Leer;2,5 
188;14713;Leipzig;5,8 
189;14729;Leipzig (Landkreis);2,1 
190;05316;Leverkusen;6,8 
191;09478;Lichtenfels;2,1 
192;06533;Limburg-Weilburg;2,3 
193;09776;Lindau (Bodensee);3,6 
194;05766;Lippe;2,4 
195;08118;Ludwigsburg;3,9 
196;07314;Ludwigshafen am Rhein;6,9 
197;13076;Ludwigslust-Parchim;1,0 
198;08336;Lörrach;2,5 
199;01003;Lübeck;3,7 
200;03354;Lüchow-Dannenberg;0,9 
201;03355;Lüneburg;1,4 
202;15003;Magdeburg;4,3 
203;06435;Main-Kinzig-Kreis;2,1 
204;09677;Main-Spessart;1,4 
205;08128;Main-Tauber-Kreis;1,9 
206;06436;Main-Taunus-Kreis;4,5 
207;07315;Mainz;6,5 
208;07339;Mainz-Bingen;2,4 
209;08222;Mannheim;6,7 
210;15087;Mansfeld-Südharz;1,3 
211;06534;Marburg-Biedenkopf;1,9 
212;07137;Mayen-Koblenz;2,3 
213;13071;Mecklenburgische Seenplatte;0,9 
214;14627;Meißen;2,2 
215;09764;Memmingen;4,6 
216;10042;Merzig-Wadern;2,1 
217;05158;Mettmann;4,8 
218;09182;Miesbach;1,8 
219;09676;Miltenberg;1,9 
220;05770;Minden-Lübbecke;2,8 
221;14522;Mittelsachsen;2,2 
222;12064;Märkisch-Oderland;1,4 
223;05962;Märkischer Kreis;2,5 
224;05116;Mönchengladbach;5,6 
225;09183;Mühldorf a. Inn;2,9 
226;05117;Mülheim an der Ruhr;6,0 
227;09162;München;8,9 
228;09184;München (Landkreis);3,1 
229;05515;Münster;3,9 
230;08225;Neckar-Odenwald-Kreis;2,0 
231;09775;Neu-Ulm;3,1 
232;09185;Neuburg-Schrobenhausen;2,1 
233;09373;Neumarkt i.d. OPf.;2,0 
234;01004;Neumünster;5,0 
235;10043;Neunkirchen;3,6 
236;09575;Neustadt a.d. Aisch-Bad Windsheim;1,8 
237;09374;Neustadt a.d. Waldnaab;1,7 
238;07316;Neustadt an der Weinstraße;2,6 
239;07138;Neuwied;2,7 
240;03256;Nienburg (Weser);1,4 
241;01054;Nordfriesland;2,0 
242;16062;Nordhausen;1,4 
243;14730;Nordsachsen;1,6 
244;13074;Nordwestmecklenburg;1,2 
245;03155;Northeim;1,4 
246;09564;Nürnberg;7,8 
247;09574;Nürnberger Land;2,5 
248;09780;Oberallgäu;1,8 
